City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
52,Tamandare,BR,2020-04-19 00:00:52,-8.76,-35.1,80.96,80,94,8.57,light rain,2.34,0.0
53,Cabo San Lucas,MX,2020-04-18 23:59:33,22.89,-109.91,75.99,60,5,16.11,clear sky,0.0,0.0
54,Bulgan,MN,2020-04-18 23:57:17,48.81,103.53,32.86,47,30,3.27,scattered clouds,0.0,0.0
55,Jamestown,US,2020-04-18 23:56:57,42.1,-79.24,45.0,41,1,10.29,clear sky,0.0,0.0
56,Pastavy,BY,2020-04-19 00:00:53,55.12,26.83,32.32,87,42,8.39,scattered clouds,0.0,0.0
57,Dunedin,NZ,2020-04-18 23:56:25,-45.87,170.5,59.0,44,72,8.01,light rain,0.11,0.0
58,Kapaa,US,2020-04-19 00:00:53,22.08,-159.32,80.6,65,1,6.93,clear sky,0.0,0.0
59,Mbandaka,CD,2020-04-18 23:56:00,0.05,18.26,70.93,88,79,1.88,light rain,0.44,0.0
60,Obo,CF,2020-04-19 00:00:53,5.4,26.49,69.39,63,91,3.65,overcast clouds,0.0,0.0
61,Tabou,CI,2020-04-18 23:57:37,4.42,-7.35,79.34,86,100,7.83,light rain,0.27,0.0
62,Beira,MZ,2020-04-19 00:00:53,-19.84,34.84,78.8,74,40,18.34,scattered clouds,0.0,0.0
63,Atuona,PF,2020-04-18 23:56:09,-9.8,-139.03,82.0,75,95,17.6,overcast clouds,0.0,0.0
64,Moerai,PF,2020-04-19 00:00:53,-22.43,-151.33,81.19,73,35,6.42,scattered clouds,0.0,0.0
65,Butaritari,KI,2020-04-19 00:00:53,3.07,172.79,83.34,77,88,17.34,light rain,1.96,0.0
66,Tiksi,RU,2020-04-19 00:00:53,71.69,128.87,10.29,85,68,3.94,broken clouds,0.0,0.0
67,Waipawa,NZ,2020-04-19 00:00:40,-41.41,175.52,64.4,59,2,18.34,clear sky,0.0,0.0
68,Saint George,US,2020-04-18 23:59:16,37.1,-113.58,69.8,28,40,12.75,scattered clouds,0.0,0.0
69,Kisangani,CD,2020-04-19 00:00:53,0.52,25.2,70.77,86,87,2.01,light rain,2.4,0.0
70,San Luis,AR,2020-04-19 00:00:53,-33.3,-66.34,67.21,33,0,13.85,clear sky,0.0,0.0
71,Bogovarovo,RU,2020-04-19 00:00:53,58.98,47.02,31.15,95,99,2.64,overcast clouds,0.0,0.0
72,Barrow,US,2020-04-19 00:00:53,71.29,-156.79,6.8,71,1,11.41,clear sky,0.0,0.0
73,Meulaboh,ID,2020-04-18 23:56:51,4.14,96.13,78.66,83,68,5.06,light rain,0.11,0.0
