City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Puerto Ayora,EC,2020-04-17 01:19:04,-0.74,-90.35,80.6,83,75,10.29
70,Castro,BR,2020-04-17 01:19:04,-24.79,-50.01,52.93,39,0,1.45
71,Rikitea,PF,2020-04-17 01:19:04,-23.12,-134.97,76.69,74,24,11.25
72,Gat,IL,2020-04-17 01:19:04,31.61,34.76,62.6,77,40,5.82
73,Pitimbu,BR,2020-04-17 01:19:04,-7.47,-34.81,77.0,100,75,5.82
74,Saint George,US,2020-04-17 01:19:04,37.1,-113.58,71.6,21,1,5.82
75,Norilsk,RU,2020-04-17 01:19:04,69.35,88.2,24.8,62,64,22.37
76,Provideniya,RU,2020-04-17 01:19:04,64.38,-173.3,32.0,97,90,15.66
77,Chatra,IN,2020-04-17 01:19:04,24.22,84.87,73.4,88,10,4.7
78,Pevek,RU,2020-04-17 01:19:04,69.7,170.31,15.15,94,97,3.15
79,San Quintin,MX,2020-04-17 01:19:04,30.48,-115.95,66.56,53,0,10.96
80,Ahipara,NZ,2020-04-17 01:19:05,-35.17,173.17,66.0,87,100,17.25
81,Sept-Iles,CA,2020-04-17 01:16:39,50.2,-66.38,30.2,39,75,10.29
82,Cascais,PT,2020-04-17 01:19:05,38.7,-9.42,62.01,93,75,14.99
83,Georgetown,MY,2020-04-17 01:19:05,5.41,100.34,82.4,83,20,4.7
84,Pisco,PE,2020-04-17 01:19:05,-13.7,-76.22,73.4,69,4,10.29
85,Ushuaia,AR,2020-04-17 01:17:40,-54.8,-68.3,59.0,51,99,20.8
86,Vostok,RU,2020-04-17 01:19:05,46.49,135.88,48.81,35,0,0.89
87,Jumla,NP,2020-04-17 01:19:05,29.27,82.18,47.84,25,85,3.67
88,Fairbanks,US,2020-04-17 01:17:47,64.84,-147.72,44.6,75,75,11.41
89,Abu Dhabi,AE,2020-04-17 01:17:20,24.47,54.37,75.99,83,20,4.7
90,Benguela,AO,2020-04-17 01:19:05,-12.58,13.41,77.74,85,9,3.22
91,Salinas,US,2020-04-17 01:16:15,36.68,-121.66,63.0,82,90,9.17
92,Erdaojiang,CN,2020-04-17 01:19:05,41.78,126.03,50.41,61,100,3.98
93,Orsha,BY,2020-04-17 01:19:05,54.52,30.41,35.6,79,75,11.18
94,Ekibastuz,KZ,2020-04-17 01:19:05,51.67,75.37,47.82,53,2,6.55
95,Nikolskoye,RU,2020-04-17 01:19:05,59.7,30.79,35.6,74,75,13.42
96,Rawson,AR,2020-04-17 01:17:50,-43.3,-65.1,71.96,49,78,12.37
97,Yarmouth,US,2020-04-17 01:19:05,41.71,-70.23,42.8,30,1,6.93
98,Nabire,ID,2020-04-17 01:19:05,-3.37,135.48,81.01,80,93,1.63
99,Kingston,JM,2020-04-17 01:15:57,18.0,-76.79,82.4,78,20,17.22
100,Sonamukhi,IN,2020-04-17 01:19:05,23.3,87.42,74.48,73,22,5.3
101,Adrar,MR,2020-04-17 01:19:05,20.5,-10.07,87.13,22,46,4.97
102,Santa Comba,ES,2020-04-17 01:19:05,43.03,-8.81,57.0,93,40,8.05
103,North Bend,US,2020-04-17 01:19:05,43.41,-124.22,73.4,28,1,12.75
104,Dicabisagan,PH,2020-04-17 01:19:05,17.08,122.42,79.59,77,83,1.41
105,Monrovia,LR,2020-04-17 01:19:05,6.3,-10.8,81.86,87,73,7.36
106,Worthington,US,2020-04-17 01:15:47,40.09,-83.02,44.6,48,1,8.05
107,Sur,OM,2020-04-17 01:19:06,22.57,59.53,79.52,56,44,4.79
108,Ostrovnoy,RU,2020-04-17 01:19:06,68.05,39.51,33.55,93,100,19.44
109,Nanortalik,GL,2020-04-17 01:19:06,60.14,-45.24,31.39,98,100,10.65
110,Cabo San Lucas,MX,2020-04-17 01:19:06,22.89,-109.91,78.01,41,40,9.17
111,Bambous Virieux,MU,2020-04-17 01:19:06,-20.34,57.76,75.2,83,40,8.05
112,Talnakh,RU,2020-04-17 01:19:06,69.49,88.4,24.8,62,48,22.37
113,Hit,IQ,2020-04-17 01:19:06,33.64,42.83,70.66,36,70,9.84
114,Upernavik,GL,2020-04-17 01:18:03,72.79,-56.15,25.38,90,100,7.29
115,Ajdabiya,LY,2020-04-17 01:19:06,30.76,20.23,62.06,58,52,9.6
116,Port-Gentil,GA,2020-04-17 01:19:06,-0.72,8.78,80.22,85,100,11.86
117,College,US,2020-04-17 01:19:06,64.86,-147.8,44.6,76,75,9.17
118,Bardiyah,LY,2020-04-17 01:19:06,31.76,25.09,57.52,74,3,9.24
119,Salta,AR,2020-04-17 01:19:06,-24.79,-65.41,62.6,72,75,2.24
120,Sao Joao Da Barra,BR,2020-04-17 01:19:06,-21.64,-41.05,75.22,88,89,9.35
121,Pallasovka,RU,2020-04-17 01:19:06,50.05,46.88,43.63,76,77,23.29
